arch,condition,seed,rho,wd,lesion,side,D50_rule,D50_exc,max_overreg,overreg_at_rule_intact,SI_q0.5,d_test_q0.5,d_exc_q0.5,SI_k64,d_test_k64,d_exc_k64,SI_k256,d_test_k256,d_exc_k256
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,topk,in,0.8307771279242289,0.8747685185183903,0.009009009009009,,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,topk,out,0.7583347917395707,0.9782072368416886,0.0,,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,ebottom,in,0.7441778523488287,0.4517156862743691,0.6144144144144145,0.1945945945945946,0.620815915456038,0.05666156202143946,0.6774774774774774,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,erand,in,0.5898319892469097,0.49566532258032403,0.17117117117117112,0.004204204204204199,0.26773980538506265,0.2451731075278503,0.512912912912913,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,etop,in,0.3961927582528925,0.676553672316144,0.009009009009009,0.0,-0.5514773038059229,0.6019277542563732,0.05045045045045038,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,lowpass,in,41.53613445379156,37.60000000001649,0.0198198198198198,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,neurons,units,,,0.0252252252252252,0.0252252252252252,,,,0.006125574272588086,-0.006125574272588086,0.0,0.018467291721953383,-0.013061886316548033,0.00540540540540535
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,randk,both,,,0.0054054054054054,0.0054054054054054,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,randk,in,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,randk,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,randunits,units,,,0.0006006006006006,0.0006006006006006,,,,-0.005194727201753513,0.005194727201753513,0.0,-0.028255712698555535,0.028255712698555535,0.0
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,residual,both,,,0.0054054054054054,0.0054054054054054,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,residual,in,,,0.0,0.0,,,,,,,,,
