arch,condition,seed,task,rho,wd,step,basis,side,mode,energy_share,rank,dc_share
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,62,0.0023638484977610533,56,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,63,0.07217856536900973,7,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,64,0.002416697417201741,55,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,65,0.0021696344974383194,63,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,66,0.002535653039886018,49,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,67,0.003194449110459697,32,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,68,0.002726642871684388,42,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,69,0.0020694940024449803,68,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,70,0.003929165341939849,25,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,71,0.003685451168004606,29,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,72,0.0025346964812130476,50,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,73,0.004250066199784116,24,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,74,0.004338220115510897,22,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,1,0.005139509471756424,22,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,2,0.005532103511711387,17,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,3,0.005100373235195221,23,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,4,0.0036277388211274695,61,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,5,0.006648763823072882,13,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,6,0.004488080092548399,31,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,7,0.003189402093193245,74,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,8,0.003500517493411692,66,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,9,0.004071694821315329,40,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,10,0.0034299781534972954,69,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,11,0.0038887981870508333,49,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,12,0.08249722251618771,4,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,13,0.06247761211700576,9,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,14,0.0918895988541088,2,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,15,0.006769097256272368,12,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,16,0.003581055021962028,64,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,17,0.004427586450881522,34,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,18,0.004170865938823645,39,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,19,0.0033747032933803306,70,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,20,0.003598807512420953,63,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,21,0.003961928968766801,46,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,22,0.003273629628035495,72,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,23,0.0037356845024811873,58,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,24,0.004621815490139099,26,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,25,0.0037912940690207463,56,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,26,0.006486327349681272,15,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,27,0.004501995015124735,29,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,28,0.011509711059555203,10,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,29,0.08384231240559181,3,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,30,0.0050617108064328845,24,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,31,0.0034566051614047613,68,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,32,0.004482558930507275,32,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,33,0.00450101837329772,30,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,34,0.0038294174025370387,54,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,35,0.0038720417255258552,50,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,36,0.006544135874633716,14,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,37,0.0037373747681966277,57,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,38,0.004062996258716753,42,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,39,0.0038215752756874085,55,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,40,0.003842650988160072,53,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,41,0.004526491381496975,28,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,42,0.004303773011552944,35,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,43,0.006007238537269759,16,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,44,0.06478286501511074,7,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,45,0.003504186585708425,65,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,46,0.07429972723739804,6,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,47,0.07565266464866956,5,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,48,0.004217291023296747,38,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,49,0.008635982340912191,11,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,50,0.11007965625242164,1,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,51,0.0036725231457941146,59,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,52,0.003862051157454812,51,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,53,0.003921670910816276,48,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,54,0.0032279496916143686,73,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,55,0.003992853548579296,45,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,56,0.0036274677327409644,62,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,57,0.004249062402533548,37,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,58,0.005415107480907148,19,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,59,0.004590737342242348,27,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,60,0.004457673604765487,33,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,61,0.0052022009367221796,21,0.0017212866137580071
