arch,condition,seed,task,rho,wd,step,basis,side,mode,energy_share,rank,dc_share
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,69,0.0058314231370120255,52,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,70,0.005685530648242083,56,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,71,0.008077041226516216,18,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,72,0.01029307632660703,13,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,73,0.005192777760740893,64,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,74,0.05234189195536417,7,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,1,0.0030056357887371737,44,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,2,0.0032006618426882565,34,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,3,0.0040673034775435,15,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,4,0.0026965852670862815,58,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,5,0.08743605064776948,5,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,6,0.0031569295060144293,37,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,7,0.0026139694190248112,64,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,8,0.003066672821417514,42,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,9,0.0035933573800216575,20,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,10,0.0026165257330088196,63,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,11,0.0024979299943402563,69,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,12,0.0031044858337202627,39,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,13,0.0026947745682115677,60,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,14,0.003481549197381449,23,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,15,0.0029038109578395474,50,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,16,0.0031711240765192545,36,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,17,0.003112991637256046,38,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,18,0.005455758949117581,11,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,19,0.0033851949319151755,26,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,20,0.0023497263660340337,73,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,21,0.0023732440609132584,71,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,22,0.0035111482203127736,21,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,23,0.0034192024749380018,25,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,24,0.00511989822733337,13,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,25,0.002395531655501273,70,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,26,0.002969188830558274,48,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,27,0.003632921820510562,18,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,28,0.0026962791250559454,59,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,29,0.003488916269415795,22,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,30,0.09907078027976039,2,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,31,0.08310376196403743,6,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,32,0.0033143904213905075,29,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,33,0.0032103677543732782,33,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,34,0.0029782757413643764,47,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,35,0.0657548589476027,8,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,36,0.00214382166564528,74,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,37,0.003348634708470276,28,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,38,0.0025997240808288804,66,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,39,0.0033560830599750667,27,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,40,0.002898087104259775,52,0.0029534434691664063
