arch,condition,seed,task,rho,wd,step,side,mode,energy_share,rank,dc_share
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,22,0.0026960732846204624,44,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,23,0.004522521478636905,15,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,24,0.002695675244591256,45,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,25,0.0023244658609796937,71,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,26,0.002572396088483888,55,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,27,0.002612805785573154,52,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,28,0.0026597989468791043,47,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,29,0.009012603302861322,11,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,30,0.0025122290314593845,61,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,31,0.0026320791583840956,49,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,32,0.0035158888701562916,20,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,33,0.0027907618811885164,39,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,34,0.0025918451744697344,54,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,35,0.0028347128457298872,36,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,36,0.0035678009187981017,18,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,37,0.10030132379067477,3,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,38,0.0024637972738311914,64,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,39,0.0033781962006249337,21,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,40,0.0024982900123828073,62,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,41,0.0028072789828905388,37,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,42,0.0031315851501449734,27,0.001950244593476919
