arch,condition,seed,task,rho,wd,step,step_req,grok_step,basis,side,mode,energy_share,rank,dc_share
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,59,0.011501103892758392,74,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,60,0.016336859693703562,1,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,61,0.012410421344909417,66,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,62,0.013043912508238723,47,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,63,0.014654658954885293,10,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,64,0.012431807805400825,65,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,65,0.01372607601231736,29,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,66,0.013036946742790628,48,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,67,0.01373383127899229,27,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,68,0.013025614602377356,49,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,69,0.013338726549571198,41,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,70,0.016230372610333468,2,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,71,0.014674337425138705,9,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,72,0.013963425029156599,19,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,73,0.014025742033413818,18,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,74,0.011899569968411083,72,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,1,0.013164545101796071,45,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,2,0.013978836778144026,19,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,3,0.012758856907887889,62,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,4,0.012662760099702903,66,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,5,0.013171133708384254,44,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,6,0.014326033480299113,14,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,7,0.01345081338533799,35,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,8,0.012896654019034944,55,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,9,0.01316258955848388,46,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,10,0.01296245385943619,50,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,11,0.013413689128480767,36,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,12,0.013813410025521432,25,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,13,0.014840075606901353,7,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,14,0.013088360974992165,48,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,15,0.01290135445332233,53,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,16,0.013398757433172202,37,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,17,0.01271786760894195,64,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,18,0.013770514726532188,28,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,19,0.01519424102400225,3,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,20,0.013609308315904874,30,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,21,0.012826164063752326,59,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,22,0.01429331210646637,16,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,23,0.014791660904482765,8,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,24,0.014493344350598885,11,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,25,0.01288561113143862,57,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,26,0.013222945211427748,41,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,27,0.01235613944283367,69,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,28,0.012942946472382366,52,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,29,0.013917416317472587,21,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,30,0.013221459219468048,42,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,31,0.013862258198693033,24,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,32,0.013930728396879801,20,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,33,0.012776690184367808,61,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,34,0.012097629885413198,73,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,35,0.013574013606587918,33,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,36,0.014493984777949956,10,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,37,0.01440548164390218,13,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,38,0.012863088822116142,58,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,39,0.013784872974854541,27,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,40,0.013863828505953465,23,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,41,0.01320969234601583,43,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,42,0.01296437896022583,49,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,43,0.01333473852886235,38,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,44,0.012659321345691045,67,0.005175960069100294
