arch,condition,seed,task,rho,wd,step,step_req,grok_step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,basis,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,erand,in,51,0.7,2.0,0.009098279434285199,5.947689056396484,0.08838311996206732,4.4912638664245605,0.06666666666666667,0.009009009009009009,0.9243243243243243,4.6224260330200195,1.373033046722412,gcm_hamming,gcm_hamming,11656,3117.6215848854918,-3118.108500065311,-16.48908525054867,0.9379155676525598,4.2420422447320325,0.9973942355889724,1.0,0.9999,116651.99628420055,113534.37469931506,116268.6691173864,116299.45895713096,116652.48319938037,116668.97228463092,65.0,51.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,erand,in,58,0.8,2.0,0.011620574722997929,5.891262054443359,0.05443338074917022,4.881569862365723,0.05405405405405406,0.010810810810810811,0.9351351351351351,4.9807915687561035,0.8242483139038086,gcm_hamming,gcm_hamming,11656,2122.0619270499737,-2097.4091726202314,-38.268173305885284,1.1696070952851467,4.2420422447320325,0.9948884711779449,1.0,0.9829542372881356,116651.99628420055,114529.93435715057,116205.79497378593,116281.19164794212,116627.3435297708,116665.61170307669,65.0,58.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,erand,in,66,0.9,2.0,0.013872624087920006,5.790459632873535,0.031199620673304885,5.223427772521973,0.025225225225225224,0.010810810810810811,0.963963963963964,5.555445194244385,0.2518390715122223,gcm_hamming,gcm_hamming,11656,981.9008832418185,-925.5096292910603,-46.304795687436126,0.2,3.433496875730229,0.9923827067669173,0.86,0.9829542372881356,116651.99628420055,115670.09540095873,116405.4871496511,116405.77804415947,116595.60503024979,116641.90982593723,65.0,66.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,erand,in,70,0.95,2.0,0.011800738672191695,5.815657615661621,0.023138928402086298,5.489413261413574,0.010810810810810811,0.007207207207207207,0.9819819819819819,5.796718597412109,0.024277200922369957,gcm_hamming,gcm_hamming,11656,598.4290850441466,-573.7763306144043,-41.658337967601256,0.2,2.7790625636246915,0.9948884711779449,1.0,0.9999,116651.99628420055,116053.5671991564,116355.86752169853,116360.88491481071,116627.3435297708,116669.0018677384,65.0,70.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,erand,in,74,1.0,2.0,0.00711647599315377,6.566730976104736,0.006258890469416785,6.579314708709717,0.016216216216216217,0.007207207207207207,0.9765765765765765,6.535219669342041,-0.03300689160823822,gcm_hamming,gcm_hamming,11656,148.1410201894032,-157.38051518365683,-9.215660810426925,0.2,0.5119077010542833,0.9999,1.0,0.9999,116651.99628420055,116503.85526401114,116504.6322416616,116510.90776389366,116661.2357791948,116670.45144000523,65.0,74.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,topk,in,65,0.0,,0.0012611476443563643,6.573606967926025,0.5975343764817449,2.1272056102752686,0.6918918918918919,0.0018018018018018018,0.3063063063063063,1.786926031112671,5.204624652862549,gcm_hamming,gcm_hamming,11656,13665.897496011967,-13032.979030356233,644.1696119590924,0.7521206186172789,6.475177148448455,0.9999,1.0,0.9660084745762713,116651.99628420055,102986.09878818858,116356.72308295494,116351.15887587791,116663.2474305039,116019.07781854481,65.0,65.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,topk,in,65,0.25,,0.0009909017205657147,6.597077369689941,0.590801327643433,2.1512935161590576,0.6990990990990991,0.0018018018018018018,0.29909909909909915,1.7882630825042725,5.222797393798828,gcm_hamming,gcm_hamming,11656,13784.11461632949,-13147.533243972852,647.9212679824413,0.9379155676525598,6.475177148448455,0.9999,1.0,0.9660084745762713,116651.99628420055,102867.88166787106,116318.56019633537,116327.62386744743,116663.33617982635,116015.41491184391,65.0,65.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,topk,in,65,0.5,,0.0008107377713719485,6.61979341506958,0.5536273115220484,2.2953412532806396,0.6576576576576577,0.0018018018018018018,0.3405405405405405,1.895184874534607,5.0889410972595215,gcm_hamming,gcm_hamming,11656,13219.397185692593,-12674.388480858703,556.4077666746743,1.1696070952851467,6.475177148448455,0.9999,1.0,0.9660084745762713,116651.99628420055,103432.59909850796,116276.1256803823,116297.5565895391,116663.39534604133,116106.98757936666,65.0,65.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,topk,in,65,0.75,,0.0018016394919376632,6.566201686859131,0.3427216690374585,3.090625286102295,0.4486486486486487,0.0018018018018018018,0.5495495495495495,2.659686326980591,4.058858394622803,gcm_hamming,gcm_hamming,11656,10132.532666653802,-9865.331033864612,278.27528044761857,1.458532947443422,6.475177148448455,0.9999,1.0,0.9829542372881356,116651.99628420055,106519.46361754675,116109.80438178306,116184.68559401756,116663.06993185898,116384.79465141136,65.0,65.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,topk,in,65,1.0,,0.011170164850013512,5.935216426849365,0.02930298719772404,5.339245319366455,0.025225225225225224,0.010810810810810811,0.963963963963964,5.531275749206543,0.3472585082054138,gcm_hamming,gcm_hamming,11656,1057.6325116941007,-1038.6642712365865,-35.944240887853084,1.8188316122170607,3.433496875730229,0.9948884711779449,1.0,0.9999,116651.99628420055,115594.36377250645,115943.1934866262,116127.78294890648,116633.02804374303,116668.97228463089,65.0,65.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,randk,in,9,0.0,0.0,0.0012611476443563643,6.573606967926025,0.5975343764817449,2.1272056102752686,0.6918918918918919,0.0018018018018018018,0.3063063063063063,1.786926031112671,5.204624652862549,gcm_hamming,gcm_hamming,11656,13665.897496011967,-13032.979030356233,644.1696119590924,0.7521206186172789,6.475177148448455,0.9999,1.0,0.9660084745762713,116651.99628420055,102986.09878818858,116356.72308295494,116351.15887587791,116663.2474305039,116019.07781854481,65.0,9.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,randk,in,9,0.25,0.0,0.0012611476443563643,6.550168037414551,0.5967757230915126,2.134857416152954,0.6756756756756757,0.0018018018018018018,0.32252252252252256,1.8130391836166382,5.146312713623047,gcm_hamming,gcm_hamming,11656,13504.838581979333,-12904.88627663179,611.2034516509011,0.7521206186172789,6.475177148448455,0.9999,1.0,0.9660084745762713,116651.99628420055,103147.15770222122,116372.90431349998,116364.27878516441,116663.2474305039,116052.043978853,65.0,9.0,natural,,,,
mamba,mamba_add_rho0.05_wd0.1_tiersNone,1002,add,0.05,0.1,250,0.25g,1125,randk,in,9,0.5,0.0,0.0012611476443563643,6.521143913269043,0.5873873873873874,2.1665289402008057,0.6684684684684684,0.0,0.3315315315315316,1.866104006767273,5.045680046081543,gcm_hamming,gcm_hamming,11656,13432.941855909943,-12847.641177366051,596.5814079547126,0.7521206186172789,6.475177148448455,0.9999,1.0,0.9660084745762713,116651.99628420055,103219.0544282906,116390.48801081901,116376.96058791404,116663.27701361137,116066.69560565666,65.0,9.0,natural,,,,
