arch,condition,seed,task,rho,wd,step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,basis,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
transformer,transformer_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,randunits,units,2,0.0013020833333333333,1.0,0.9983674950117903,0.006543800234794617,1.0,0.0002869768941309303,0.9909502262443439,0.00904977375565611,-3.2959746043559335e-17,0.020754264667630196,9.961677551269531,rulex,gcm_linear,11247,-190.6099370612792,112192.28053059804,4120.05803196618,0.2,0.05,0.02014611528822055,0.98,0.0001,112558.76820593716,112757.9478832179,112766.37131278298,112749.37814299844,4677.155644366576,557.0976124003956,,,,1536.0,grad,0.37776464223861694,-0.02725505270063877
transformer,transformer_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,randunits,units,4,0.0026041666666666665,1.0,0.9983674950117903,0.006633199285715818,1.0,0.0002944110019598156,0.995475113122172,0.004524886877828055,-1.6479873021779667e-17,0.019273828715085983,9.967055320739746,rulex,gcm_linear,11247,-190.28936993023672,112199.74353831336,4145.618559349266,0.2,0.05,0.02014611528822055,0.98,0.0001,112558.76820593716,112757.585349127,112766.05166022561,112749.0575758674,4694.932596903309,549.3140375540422,,,,1536.0,grad,-9.189380645751953,-0.04440196976065636
transformer,transformer_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,randunits,units,8,0.005208333333333333,1.0,0.9983674950117903,0.0068603260442614555,1.0,0.0003042095631826669,0.9909502262443439,0.00904977375565611,-3.2959746043559335e-17,0.02032351680099964,10.026458740234375,rulex,gcm_linear,11247,-190.10057388684072,112191.7711674236,4120.05803196618,0.2,0.05,0.02014611528822055,0.98,0.0001,112558.76820593716,112757.42750000679,112765.87821929238,112748.868779824,4677.155644366576,557.0976124003956,,,,1536.0,grad,-19.889892578125,-0.21522115170955658
transformer,transformer_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,randunits,units,16,0.010416666666666666,1.0,0.9984581897333575,0.006506618577986956,1.0,0.00029417124460451305,0.9909502262443439,0.00904977375565611,-3.2959746043559335e-17,0.021053871139883995,9.938385009765625,rulex,gcm_linear,11247,-190.28780876538076,112220.3867769904,4130.709454117706,0.2,0.05,0.02014611528822055,0.98,0.0001,112558.76820593716,112757.60618391294,112766.06160323403,112749.05601470254,4659.378691829843,528.6692377121373,,,,1536.0,grad,-6.9312028884887695,-0.14343808591365814
transformer,transformer_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,randunits,units,32,0.020833333333333332,1.0,0.9982768002902231,0.0068926382809877396,1.0,0.00032635219395160675,0.995475113122172,0.004524886877828055,-1.6479873021779667e-17,0.021640585735440254,9.867032051086426,rulex,gcm_linear,11247,-190.45856605908193,112171.48435975394,4134.91725830739,0.2,0.05,0.02265187969924812,0.98,0.0001,112558.76820593716,112757.75343442509,112766.17511050485,112749.22677199624,4712.65967054969,577.7424122423005,,,,1536.0,grad,-7.93394136428833,-0.2072671800851822
transformer,transformer_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,randunits,units,64,0.041666666666666664,1.0,0.9982768002902231,0.007716162595897913,1.0,0.00036807075957767665,0.9909502262443439,0.00904977375565611,-3.2959746043559335e-17,0.022627413272857666,9.83736515045166,rulex,gcm_linear,11247,-190.19351612469472,112163.4357349732,4109.406609814655,0.2,0.05,0.02014611528822055,0.98,0.0001,112558.76820593716,112757.60369116494,112765.9577471473,112748.96172206185,4694.932596903309,585.5259870886539,,,,1536.0,grad,-15.95474624633789,-0.1569451540708542
transformer,transformer_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,randunits,units,128,0.08333333333333333,1.0,0.9982768002902231,0.00849135871976614,1.0,0.0004694610834121704,0.995475113122172,0.004524886877828055,-1.6479873021779667e-17,0.018300427123904228,9.812865257263184,rulex,gcm_linear,11247,-190.08546196362295,112171.11125565848,4134.91725830739,0.2,0.05,0.02265187969924812,0.98,0.0001,112558.76820593716,112757.5220302763,112765.8673388221,112748.85366790078,4712.65967054969,577.7424122423005,,,,1536.0,grad,-10.955050468444824,-0.3006077706813812
transformer,transformer_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,randunits,units,256,0.16666666666666666,1.0,0.9959187375294758,0.016901357099413872,1.0,0.0011277380399405956,1.0,0.0,0.0,0.012121221981942654,10.025165557861328,rulex,gcm_linear,11247,-191.54143654248037,111532.25370644612,3968.1136376614318,0.2,0.05,0.02265187969924812,1.0,0.017045762711864407,112558.76820593716,112759.08082931307,112767.39748923562,112750.30964247964,5186.169573694953,1218.0559360335214,,,,1536.0,grad,-25.054462432861328,-0.24364736676216125
transformer,transformer_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,randunits,units,512,0.3333333333333333,1.0,0.9912933067295483,0.03897448629140854,0.9997223507635354,0.004889206029474735,0.9864253393665159,0.004524886877828055,0.009049773755656059,0.06299227476119995,8.935225486755371,rulex,gcm_linear,11247,-188.32502018353262,110552.19256982242,3853.4388320621024,0.2,0.05,0.027663408521303258,0.98,0.017045762711864407,112558.76820593716,112756.044280701,112764.25569121621,112747.09322612069,6048.339488360368,2194.9006562982654,,,,1536.0,grad,-22.11775016784668,-0.3006077706813812
transformer,transformer_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,randunits,units,0,0.0,2.0,0.9984581897333575,0.006510379258543253,1.0,0.00028993492014706135,0.9909502262443439,0.00904977375565611,-3.2959746043559335e-17,0.020551413297653198,9.97636604309082,rulex,gcm_linear,11247,-190.2291711463622,112220.32813937138,4130.709454117706,0.2,0.05,0.02014611528822055,0.98,0.0001,112558.76820593716,112757.58470445657,112766.02305285714,112748.99737708352,4659.378691829843,528.6692377121373,,,,1536.0,grad,,
