arch,condition,seed,task,rho,wd,step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,8,0.004166666666666667,0.0,0.9782902441221512,0.0962551161646843,0.9994484280198566,0.0015729425940662622,1.0,0.0,0.0,0.00767720490694046,10.87794303894043,rulex,gcm_hamming,11323,85525.34562374116,23022.337762128787,3732.443740769284,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27794.0224206997,39463.74230200574,38866.653934782,8504.1283993402,4771.684658570915,1920.0,grad,-1.239453911781311,-0.03863904997706413
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,16,0.008333333333333333,0.0,0.9782001621475542,0.09631557762622833,0.9994484280198566,0.0015244365204125643,1.0,0.0,0.0,0.00773986941203475,10.824627876281738,rulex,gcm_hamming,11323,85521.8873527261,23007.67858594881,3730.680866824665,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27797.480691714773,39498.73664933965,38901.64846998975,8520.482972590626,4789.802105765961,1920.0,grad,-1.4913463592529297,-0.19210363924503326
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,32,0.016666666666666666,0.0,0.9783803260967481,0.0962584838271141,0.9994484280198566,0.0015330095775425434,1.0,0.0,0.0,0.0076034278608858585,10.833869934082031,rulex,gcm_hamming,11323,85534.98958722649,23030.81124583851,3734.206614713905,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27784.37845721438,39465.15674192235,38848.616654937716,8487.773826089775,4753.56721137587,1920.0,grad,-0.6213592290878296,-0.17971964180469513
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,64,0.03333333333333333,0.0,0.9784704080713449,0.09462641924619675,0.9994484280198566,0.001549712149426341,0.9954954954954955,0.0045045045045045045,-4.597017211338539e-17,0.010295220650732517,10.758925437927246,rulex,gcm_hamming,11323,85519.37028537781,23047.806773960503,3702.8736944863685,40.0,8.0,0.040192230576441106,0.98,0.017045762711864407,113319.36804444087,27799.99775906306,39476.045592372866,38859.5187097244,8455.064679588924,4752.190985102556,1920.0,grad,-1.100383996963501,-0.27211037278175354
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,128,0.06666666666666667,0.0,0.9787406539951355,0.09420973807573318,0.9996322853465711,0.0012515396811068058,1.0,0.0,0.0,0.011114174500107765,10.669961929321289,rulex,gcm_hamming,11323,85558.51473615697,23079.755885688206,3741.258110492384,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27760.8533082839,39398.04627591893,38781.76775175855,8422.355533088075,4681.097422595692,1920.0,grad,-0.9325366616249084,-0.2667393386363983
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,256,0.13333333333333333,0.0,0.9781100801729574,0.09484190493822098,0.9996322853465711,0.001632934669032693,1.0,0.0,0.0,0.009391958825290203,10.48332405090332,rulex,gcm_hamming,11323,85536.54540489276,22974.903086587106,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27782.82263954811,39380.27045780942,38763.78640324399,8536.83754584105,4807.919552961005,1920.0,grad,-1.307941198348999,-0.2549895942211151
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,512,0.26666666666666666,0.0,0.9791009818935231,0.09094992280006409,0.9995403566832138,0.001801659120246768,0.9954954954954955,0.0045045045045045045,-4.597017211338539e-17,0.01822408102452755,10.03494644165039,rulex,gcm_hamming,11323,85582.60523939661,23111.39395030702,3715.2138120987074,40.0,8.0,0.040192230576441106,0.98,0.017045762711864407,113319.36804444087,27736.76280504426,39366.701793973894,38806.5306684427,8340.58266683595,4625.368854737242,1920.0,grad,-1.5290473699569702,-0.28243184089660645
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,0,0.0,1.0,0.9781100801729574,0.09627477824687958,0.9994484280198566,0.0015436498215422034,1.0,0.0,0.0,0.007487163878977299,10.878389358520508,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,,
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,1,0.0005208333333333333,1.0,0.9781100801729574,0.0963684692978859,0.9994484280198566,0.001546003739349544,1.0,0.0,0.0,0.007536250166594982,10.86994743347168,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,1.7781803607940674,0.06491507589817047
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,2,0.0010416666666666667,1.0,0.9781100801729574,0.09618320316076279,0.9994484280198566,0.001537651987746358,1.0,0.0,0.0,0.00749729061499238,10.873827934265137,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,0.22981470823287964,0.021704161539673805
