arch,condition,seed,task,rho,wd,step,side,mode,energy_share,rank,dc_share
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,57,0.024338412575911426,7,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,58,0.01111071617307706,30,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,59,0.010754832322515005,33,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,60,0.007411488253840153,68,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,61,0.020152970733088145,9,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,62,0.007310015149948555,69,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,63,0.007760249579283727,63,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,64,0.006621729547106032,72,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,65,0.00753863071718559,65,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,66,0.01172493456421039,25,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,67,0.008673404927102798,52,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,68,0.014173531866571576,18,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,69,0.03392093626899752,3,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,70,0.009671394472687802,42,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,71,0.008447266993599633,57,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,72,0.009185286108653934,49,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,73,0.015101610720076132,15,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,74,0.009222230607870752,48,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,1,0.01282131425538282,17,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,2,0.007180053083167535,51,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,3,0.006361278188062987,60,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,4,0.0061640264988220604,63,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,5,0.00990298558897051,24,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,6,0.009266671317764987,27,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,7,0.006149884151151721,64,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,8,0.012543813298890273,18,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,9,0.010348648923715313,23,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,10,0.018755029971345816,10,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,11,0.07126442404611885,2,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,12,0.009589768037945314,25,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,13,0.007294344893003939,48,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,14,0.006630638920352604,58,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,15,0.00549615221244243,69,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,16,0.029579558556937655,8,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,17,0.005643028637562436,67,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,18,0.0055743935063836325,68,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,19,0.007033348577535324,54,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,20,0.007035856646321185,53,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,21,0.008386851772983308,34,0.0014676219984556798
