arch,condition,seed,task,rho,wd,step,step_req,grok_step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,basis,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,60,0.8,0.0,0.00936852535807585,5.191073894500732,0.03585585585585586,4.843268394470215,,,,,,gcm_hamming,gcm_hamming,11101,1592.3959166300774,-1591.2529955047357,-18.916169910808094,0.24940562575637185,4.2420422447320325,0.9973942355889724,0.0,0.9999,111097.61588460108,109505.219967971,111116.38713620698,111122.80775807892,111096.47296347574,111115.38913338655,66.0,60.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,67,0.9,0.0,0.013242050265741824,5.119053840637207,0.027297297297297296,4.907941818237305,,,,,,gcm_hamming,gcm_hamming,11101,972.0546668876777,-926.9527908092714,-61.603051241938374,0.2,3.433496875730229,0.9923827067669173,0.0,0.9999,111097.61588460108,110125.5612177134,110813.81306623017,110823.37379621064,111052.51400852267,111114.11705976461,66.0,67.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,71,0.95,0.0,0.015494099630663904,5.07236385345459,0.023963963963963966,4.937855243682861,,,,,,gcm_hamming,gcm_hamming,11101,734.1711007722188,-650.9252967207867,-44.49226883990923,0.2,3.433496875730229,0.9898769423558897,0.0,0.9829542372881356,111097.61588460108,110363.44478382886,110757.14198182618,110762.23122190034,111014.37008054965,111058.86234938956,66.0,71.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,74,1.0,0.0,0.006305738221781821,5.216196060180664,0.007117117117117117,5.204317092895508,,,,,,gcm_linear,gcm_linear,11101,1308.3237162362057,-1317.7880002028687,-9.314790473334142,0.2,0.5119077010542833,0.9999,0.0,0.9999,111097.61588460108,109803.37785364145,109804.97302506959,109789.29216836487,111107.08016856774,111116.39495904108,66.0,74.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,0,0.0,1.0,0.011710656697594812,5.4392547607421875,0.16153153153153152,4.332490921020508,,,,,,gcm_hamming,gcm_hamming,11101,7898.051216734893,-7873.3458429172315,-41.70946180848114,0.7521206186172789,6.475177148448455,0.9948884711779449,0.0,0.9999,111097.61588460108,103199.56466786619,111137.45590280091,111165.28398583924,111072.91051078342,111114.6199725919,66.0,0.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,4,0.05,1.0,0.011530492748401044,5.430654525756836,0.15585585585585585,4.356605052947998,,,,,,gcm_hamming,gcm_hamming,11101,7836.599838309761,-7814.168270080991,-39.494822434542584,0.7521206186172789,6.475177148448455,0.9948884711779449,0.0,0.9999,111097.61588460108,103261.01604629132,111170.85372994935,111194.44577191865,111075.18431637231,111114.67913880685,66.0,4.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,8,0.1,1.0,0.010990000900819747,5.420670986175537,0.1483783783783784,4.388258934020996,,,,,,gcm_hamming,gcm_hamming,11101,7734.062223989487,-7718.452072527376,-32.85090431281424,0.7521206186172789,6.475177148448455,0.9948884711779449,0.0,0.9999,111097.61588460108,103363.5536606116,111119.66522573029,111140.68441461121,111082.00573313897,111114.85663745178,66.0,8.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,15,0.2,1.0,0.009278443383478966,5.400404453277588,0.1253153153153153,4.456424713134766,,,,,,gcm_hamming,gcm_hamming,11101,7442.309691274786,-7441.824331689146,-18.288191478597582,0.7521206186172789,6.475177148448455,0.9973942355889724,0.0,0.9999,111097.61588460108,103655.3061933263,111081.15873788392,111087.85560105836,111097.13052501544,111115.41871649404,66.0,15.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,22,0.3,1.0,0.00936852535807585,5.377777576446533,0.10423423423423424,4.520209789276123,,,,,,gcm_hamming,gcm_hamming,11101,6722.152603437309,-6721.0096823119675,-18.916169910808094,0.9379155676525598,6.475177148448455,0.9973942355889724,0.0,0.9999,111097.61588460108,104375.46328116377,111129.71402047669,111153.4869859079,111096.47296347574,111115.38913338655,66.0,22.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,29,0.4,1.0,0.007566885866138186,5.351222038269043,0.08621621621621621,4.578591823577881,,,,,,gcm_hamming,gcm_hamming,11101,5990.591549098419,-5999.641669560282,-9.314790473334142,0.9379155676525598,6.475177148448455,0.9999,0.0,0.9999,111097.61588460108,105107.02433550266,111109.34319852387,111115.9961612085,111106.66600506294,111115.98079553628,66.0,29.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,37,0.5,1.0,0.008017295739122602,5.308439254760742,0.07243243243243243,4.62529993057251,,,,,,gcm_hamming,gcm_hamming,11101,4802.1213321180985,-4810.841834088496,-9.496493427359383,0.9379155676525598,5.2409898879736305,0.9973942355889724,0.0,0.9999,111097.61588460108,106295.49455248298,111040.30713246857,111069.86877034699,111106.33638657148,111115.83287999884,66.0,37.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,45,0.6,1.0,0.009188361408882083,5.279540538787842,0.055945945945945944,4.705502033233643,,,,,,gcm_hamming,gcm_hamming,11101,3415.6065797311167,-3415.7787816851924,-17.660213046357967,0.9379155676525598,5.2409898879736305,0.9973942355889724,0.0,0.9999,111097.61588460108,107682.00930486996,110980.39026998078,111001.87959168946,111097.78808655516,111115.44829960151,66.0,45.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,52,0.7,1.0,0.009999099180254031,5.225431442260742,0.04585585585585585,4.763493061065674,,,,,,gcm_hamming,gcm_hamming,11101,2369.8070252757316,-2364.0611733723636,-23.312018936427194,0.9379155676525598,5.2409898879736305,0.9973942355889724,0.0,0.9999,111097.61588460108,108727.80885932535,110955.56572793519,110980.66191171204,111091.87003269771,111115.18205163414,66.0,52.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,60,0.8,1.0,0.011710656697594812,5.173869609832764,0.036216216216216214,4.824458599090576,,,,,,gcm_hamming,gcm_hamming,11101,1424.7439293476782,-1400.0385555300163,-41.70946180848114,0.38784548949737163,4.2420422447320325,0.9948884711779449,0.0,0.9999,111097.61588460108,109672.8719552534,111164.1216885904,111165.64760850465,111072.91051078342,111114.6199725919,66.0,60.0,natural,,,,
