arch,condition,seed,task,rho,wd,step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,basis,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,out,23,0.5,2.0,0.9836050806233673,0.0677303820848465,0.9993361782835467,0.0027958492282778025,0.9477477477477477,0.05225225225225225,2.0816681711721685e-17,0.1732039451599121,5.070892333984375,rulex,gcm_circular,11656,47858.4638374036,64851.18907748129,8481.742808564912,40.0,0.05,0.06023834586466166,0.9400000000000001,0.017045762711864407,116651.99628420055,116850.22445643283,68793.53244679695,69256.73788254982,12424.086177880567,3942.343369315655,51.0,23.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,out,23,0.75,2.0,0.9852265561661112,0.05872120335698128,0.9995258416311048,0.0025533034931868315,0.9207207207207208,0.07747747747747748,0.0018018018018017695,0.23924846947193146,4.401305675506592,rulex,gcm_circular,11656,48223.80287076885,64719.70062044273,8218.869052059357,40.0,0.05,0.05773258145363409,0.92,0.017045762711864407,116651.99628420055,116849.83736690738,68428.1934134317,68873.67952388054,11927.361845048326,3708.4927929889686,51.0,23.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,out,23,1.0,2.0,0.9864877038104676,0.05129891261458397,0.9996206733048838,0.0024846240412443876,0.8756756756756757,0.11891891891891893,0.00540540540540535,0.33528438210487366,3.731719732284546,rulex,gcm_circular,11656,48350.92374517376,64708.291623898156,7756.223628367734,40.0,0.05,0.05522681704260652,0.88,0.017045762711864407,116651.99628420055,116851.4376091804,68301.07253902679,68747.969932015,11349.00454349637,3592.780915128637,51.0,23.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.0,0.0,0.9795513917665075,0.09071027487516403,0.9990516832622096,0.0037910493556410074,0.9693693693693693,0.03063063063063063,2.0816681711721685e-17,0.09708353877067566,6.41006326675415,rulex,gcm_circular,11656,46958.09200264866,65011.16687387573,8618.407387799429,40.0,0.05,0.0652498746867168,0.96,0.017045762711864407,116651.99628420055,116848.52709097895,69693.90428155189,70197.64422076469,13301.14479547559,4682.737407676161,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.25,0.0,0.9838753265471579,0.06832381337881088,0.9994310099573257,0.0030311106238514185,0.9531531531531532,0.04684684684684685,-3.469446951953614e-17,0.15345516800880432,5.206827163696289,rulex,gcm_circular,11656,47977.302428502386,64804.439059539494,8553.831381721897,40.0,0.05,0.06023834586466166,0.96,0.017045762711864407,116651.99628420055,116849.00544340097,68674.69385569816,69168.9637197805,12424.086177880567,3870.25479615867,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.5,0.0,0.9867579497342581,0.05093123018741608,0.9995258416311048,0.0027264729142189026,0.9171171171171171,0.08288288288288288,4.163336342344337e-17,0.2613116502761841,4.0021843910217285,rulex,gcm_circular,11656,48610.567273158376,64644.237405916865,8218.297245423128,40.0,0.05,0.05773258145363409,0.92,0.017045762711864407,116651.99628420055,116851.04645116218,68041.42901104217,68514.88079374557,11615.488850548432,3397.1916051253042,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.75,0.0,0.9897306548959554,0.038369107991456985,0.9996206733048838,0.0029141332488507032,0.836036036036036,0.16216216216216217,0.0018018018018017834,0.4581782817840576,2.8030190467834473,rulex,gcm_circular,11656,49198.004117507284,64462.14094545924,7409.677927589895,40.0,0.05,0.05021528822055138,0.84,0.017045762711864407,116651.99628420055,116854.91740176408,67453.99216669326,67906.81626194244,10401.529148823918,2991.8512212340224,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,1.0,0.0,0.9926132780830556,0.03067358396947384,0.9995258416311048,0.003751050215214491,0.6936936936936937,0.3045045045045045,0.0018018018018017834,0.793962836265564,1.616090178489685,rulex,gcm_circular,11656,49765.81385757381,64284.17126787887,6011.05276569787,40.0,0.05,0.040192230576441106,0.7000000000000001,0.017045762711864407,116651.99628420055,116860.26508676072,66886.18242662674,67351.04647010093,8613.06392444574,2602.011158747869,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.0,1.0,0.9795513917665075,0.09071027487516403,0.9990516832622096,0.0037910493556410074,0.9693693693693693,0.03063063063063063,2.0816681711721685e-17,0.09708353877067566,6.41006326675415,rulex,gcm_circular,11656,46958.09200264866,65011.16687387573,8618.407387799429,40.0,0.05,0.0652498746867168,0.96,0.017045762711864407,116651.99628420055,116848.52709097895,69693.90428155189,70197.64422076469,13301.14479547559,4682.737407676161,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.25,1.0,0.9833348346995766,0.06813111156225204,0.9994310099573257,0.0029536469373852015,0.9477477477477477,0.05225225225225225,2.0816681711721685e-17,0.15316325426101685,5.219642639160156,rulex,gcm_circular,11656,47840.43184782917,64814.86872547059,8473.900628410252,40.0,0.05,0.06023834586466166,0.9400000000000001,0.017045762711864407,116651.99628420055,116849.28875533715,68811.56443637138,69309.20989793068,12470.596339311041,3996.695710900789,31.0,31.0,natural,,,,
