arch,step_over_grok,family,share
transformer,0.004075392965871778,exemplar,0.3333333333333333
transformer,0.004763938010401341,exemplar,0.3333333333333333
transformer,0.005568813990945267,exemplar,0.3333333333333333
transformer,0.00650967523045817,exemplar,0.3333333333333333
transformer,0.007609496685459876,exemplar,0.3333333333333333
transformer,0.008895134973108237,exemplar,0.3333333333333333
transformer,0.0103979841848149,exemplar,0.3333333333333333
transformer,0.012154742500762865,exemplar,0.3333333333333333
transformer,0.014208308325339224,exemplar,0.3333333333333333
transformer,0.016608827826277157,exemplar,0.3333333333333333
transformer,0.019414919457438805,exemplar,0.3333333333333333
transformer,0.022695105366946685,exemplar,0.3333333333333333
transformer,0.02652948464431896,exemplar,0.3888888888888889
transformer,0.031011689265747787,exemplar,0.3888888888888889
transformer,0.036251170499885334,exemplar,0.3888888888888889
transformer,0.04237587160604064,exemplar,0.3888888888888889
transformer,0.0495353520895917,exemplar,0.5
transformer,0.05790443980602486,exemplar,0.5
transformer,0.06768750009458535,exemplar,0.8333333333333334
transformer,0.07912342618981323,exemplar,0.9444444444444444
transformer,0.09249147277217336,exemplar,1.0
transformer,0.10811807510766078,exemplar,1.0
transformer,0.12638482029342984,exemplar,1.0
transformer,0.1477377652598511,exemplar,1.0
transformer,0.17269832906594343,exemplar,1.0
transformer,0.2018760254679039,exemplar,1.0
transformer,0.23598334667821938,exemplar,1.0
transformer,0.2758531617629184,exemplar,0.9444444444444444
transformer,0.32245905452963947,exemplar,0.9444444444444444
transformer,0.376939097538836,exemplar,0.8888888888888888
transformer,0.44062364277735727,exemplar,0.7777777777777778
transformer,0.5150678076168121,exemplar,0.6111111111111112
transformer,0.6020894493336132,exemplar,0.05555555555555555
transformer,0.7038135554931555,exemplar,0.0
transformer,0.8227241341700465,exemplar,0.0
transformer,0.9617248711152965,exemplar,0.0
transformer,1.1242100350620863,exemplar,0.0
transformer,1.3141473626117568,exemplar,0.0
transformer,1.536174946671828,exemplar,0.0
transformer,1.795714494371641,exemplar,0.0
transformer,2.0991037201085545,exemplar,0.0
transformer,2.4537511066398165,exemplar,0.0
transformer,2.868316813342012,exemplar,0.0
transformer,3.3529241492495565,exemplar,0.0
transformer,3.919406774847221,exemplar,0.0
transformer,4.581597669054491,exemplar,0.0
transformer,5.3556669177068965,exemplar,0.0
transformer,6.260516572014821,exemplar,0.0
transformer,7.318242219076174,exemplar,0.0
transformer,8.554672535565684,exemplar,0.0
transformer,10.0,exemplar,0.0
transformer,0.001,uniform,
transformer,0.0011689518164985776,uniform,1.0
transformer,0.0013664483492953259,uniform,1.0
transformer,0.001597312280060254,uniform,1.0
transformer,0.0018671810912919207,uniform,1.0
transformer,0.0021826447283974874,uniform,1.0
transformer,0.0025514065200312875,uniform,0.7777777777777778
transformer,0.002982471286216891,uniform,0.7142857142857143
transformer,0.0034863652276780842,uniform,0.6666666666666666
transformer,0.004075392965871778,uniform,0.6666666666666666
transformer,0.004763938010401341,uniform,0.6666666666666666
transformer,0.005568813990945267,uniform,0.6666666666666666
transformer,0.00650967523045817,uniform,0.6666666666666666
transformer,0.007609496685459876,uniform,0.6666666666666666
transformer,0.008895134973108237,uniform,0.6666666666666666
transformer,0.0103979841848149,uniform,0.6666666666666666
transformer,0.012154742500762865,uniform,0.6666666666666666
transformer,0.014208308325339224,uniform,0.6666666666666666
transformer,0.016608827826277157,uniform,0.6666666666666666
