condition,arch,task,joint,rho,wd,seed,grok_step,non_grokking,steps_run,cap,t_half_test_acc,t_switch_rule_or_rulex,mech_metric,t_half_mech,t_half_mech_corrected,mech_window_start,t_train_mem_reg,t_gen_persist,W_mem_to_gen_reg,t_half_mech_finalmode,mech_mode_stable,mech_final_mode,t_half_mech_use,regime_seq,switch_rel_grok,peak_overreg,t_peak_overreg,t_exc_memorized,acc_exc_at_grok,mem_to_grok_ratio,final_acc_exc,final_overreg
mamba_add_rho0_wd0.3_tiersNone,mamba,add,False,0.0,0.3,1002,400.0,False,1400,20000,352.3152600886796,300.0,fourier_conc_final_eq,153.42044743381805,153.42044743381805,,375.0,400.0,25.0,,False,20.0,153.42044743381805,gcm>rule,0.75,,,,,,,
mamba_div_rho0.02_wd0.1_tiersNone,mamba,div,False,0.02,0.1,1000,1700.0,False,17000,20000,1022.5393893986285,800.0,fourier_conc_final_eq,264.86497601679486,264.86497601679486,,575.0,1700.0,1125.0,353.5533905932737,True,2.0,264.86497601679486,gcm>rulex,0.47058823529411764,0.0226244343891402,1225.0,625.0,0.986425339366516,0.36764705882352944,1.0,0.0
mamba_div_rho0.02_wd0.1_tiersNone,mamba,div,False,0.02,0.1,1001,550.0,False,5500,20000,437.2243287230512,400.0,fourier_conc_final_eq,152.68167897849906,152.68167897849906,,425.0,550.0,125.0,,False,45.0,152.68167897849906,gcm>rulex,0.7272727272727273,0.1402714932126696,500.0,625.0,0.9004524886877828,1.1363636363636365,0.995475113122172,0.004524886877828
mamba_div_rho0.02_wd0.1_tiersNone,mamba,div,False,0.02,0.1,1002,525.0,False,5250,20000,402.36834644409123,350.0,fourier_conc_final_eq,154.11017142565098,154.11017142565098,,400.0,525.0,125.0,,False,52.0,154.11017142565098,gcm>rulex,0.6666666666666666,0.1493212669683258,475.0,675.0,0.8778280542986425,1.2857142857142858,1.0,0.0
mamba_div_rho0_wd0.1_tiersNone,mamba,div,False,0.0,0.1,1000,450.0,False,1450,20000,378.2701210792356,350.0,fourier_conc_final_eq,237.34034004104328,237.34034004104328,,375.0,450.0,75.0,,True,31.0,237.34034004104328,gcm>rule,0.7777777777777778,,,,,,,
mamba_div_rho0_wd0.1_tiersNone,mamba,div,False,0.0,0.1,1001,400.0,False,1400,20000,343.8366351146494,300.0,fourier_conc_final_eq,153.13981272119568,153.13981272119568,,350.0,400.0,50.0,,False,30.0,153.13981272119568,gcm>rule,0.75,,,,,,,
mamba_div_rho0_wd0.1_tiersNone,mamba,div,False,0.0,0.1,1002,375.0,False,1375,20000,329.4222987765863,300.0,fourier_conc_final_eq,155.26542595768825,155.26542595768825,,350.0,375.0,25.0,,False,65.0,155.26542595768825,gcm>rule,0.8,,,,,,,
mamba_joint_rho0_wd0.3_tiersNone,mamba,add,True,0.0,0.3,1000,6225.0,False,7225,30000,5443.044021883659,5525.0,fourier_conc_final_eq,132.31873986306184,,500.0,5125.0,6225.0,1100.0,,False,74.0,132.31873986306184,gcm>rule,0.8875502008032129,,,,,,,
mamba_joint_rho0_wd0.3_tiersNone,mamba,div,True,0.0,0.3,1000,2675.0,False,7225,30000,1889.245155031566,1475.0,fourier_conc_final_eq,833.3872180940358,833.3872180940358,,1750.0,2675.0,925.0,2500.0,False,5.0,833.3872180940358,uniform>gcm>rule,0.5514018691588785,,,,,,,
mamba_joint_rho0_wd0.3_tiersNone,mamba,max,True,0.0,0.3,1000,200.0,False,7225,30000,9.47288963593725,50.0,linear_corr_final_eq,36.00852904767162,36.00852904767162,,325.0,200.0,-125.0,,True,,36.00852904767162,uniform>gcm>rule,0.25,,,,,,,
